waveform	Ch0		Gen	
t0	3/17/2021  13:06:45.102783		3/17/2021  13:06:45.102785	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
3/17/2021  13:06:45.103303	3.766279E-1	3/17/2021  13:06:45.103305	3.055214E-3
3/17/2021  13:06:45.103308	4.534920E-1	3/17/2021  13:06:45.103310	2.845946E-2
3/17/2021  13:06:45.103313	5.306818E-1	3/17/2021  13:06:45.103315	6.884569E-2
3/17/2021  13:06:45.103318	6.065689E-1	3/17/2021  13:06:45.103320	1.183514E-1
3/17/2021  13:06:45.103323	6.818045E-1	3/17/2021  13:06:45.103325	1.740453E-1
3/17/2021  13:06:45.103328	7.570402E-1	3/17/2021  13:06:45.103330	2.329962E-1
3/17/2021  13:06:45.103333	8.303216E-1	3/17/2021  13:06:45.103335	2.948783E-1
3/17/2021  13:06:45.103338	9.055573E-1	3/17/2021  13:06:45.103340	3.570862E-1
3/17/2021  13:06:45.103343	9.765589E-1	3/17/2021  13:06:45.103345	4.196197E-1
3/17/2021  13:06:45.103348	1.047560E+0	3/17/2021  13:06:45.103350	4.828046E-1
3/17/2021  13:06:45.103353	1.118562E+0	3/17/2021  13:06:45.103355	5.463152E-1
3/17/2021  13:06:45.103358	1.188261E+0	3/17/2021  13:06:45.103360	6.088487E-1
3/17/2021  13:06:45.103363	1.256006E+0	3/17/2021  13:06:45.103365	6.713823E-1
3/17/2021  13:06:45.103368	1.324076E+0	3/17/2021  13:06:45.103370	7.339158E-1
3/17/2021  13:06:45.103373	1.389866E+0	3/17/2021  13:06:45.103375	7.944951E-1
3/17/2021  13:06:45.103378	1.454354E+0	3/17/2021  13:06:45.103380	8.550745E-1
3/17/2021  13:06:45.103383	1.516888E+0	3/17/2021  13:06:45.103385	9.136997E-1
3/17/2021  13:06:45.103388	1.578444E+0	3/17/2021  13:06:45.103390	9.726505E-1
3/17/2021  13:06:45.103393	1.637721E+0	3/17/2021  13:06:45.103395	1.028996E+0
3/17/2021  13:06:45.103398	1.696020E+0	3/17/2021  13:06:45.103400	1.084038E+0
3/17/2021  13:06:45.103403	1.752365E+0	3/17/2021  13:06:45.103405	1.137127E+0
3/17/2021  13:06:45.103408	1.807734E+0	3/17/2021  13:06:45.103410	1.190215E+0
3/17/2021  13:06:45.103413	1.859845E+0	3/17/2021  13:06:45.103415	1.240698E+0
3/17/2021  13:06:45.103418	1.910979E+0	3/17/2021  13:06:45.103420	1.289226E+0
3/17/2021  13:06:45.103423	1.961462E+0	3/17/2021  13:06:45.103425	1.336778E+0
