waveform	Ch0	
t0	3/17/2021  12:55:17.422861	
delta t	5.000000E-6	

time[0]	Ch0
3/17/2021  12:55:17.423651	2.150040E+0
3/17/2021  12:55:17.423656	2.110305E+0
3/17/2021  12:55:17.423661	2.066662E+0
3/17/2021  12:55:17.423666	2.021064E+0
3/17/2021  12:55:17.423671	1.974815E+0
3/17/2021  12:55:17.423676	1.926287E+0
3/17/2021  12:55:17.423681	1.875478E+0
3/17/2021  12:55:17.423686	1.822716E+0
3/17/2021  12:55:17.423691	1.767673E+0
3/17/2021  12:55:17.423696	1.711979E+0
3/17/2021  12:55:17.423701	1.654005E+0
3/17/2021  12:55:17.423706	1.594729E+0
3/17/2021  12:55:17.423711	1.533172E+0
3/17/2021  12:55:17.423716	1.470313E+0
3/17/2021  12:55:17.423721	1.407454E+0
3/17/2021  12:55:17.423726	1.341989E+0
3/17/2021  12:55:17.423731	1.274896E+0
3/17/2021  12:55:17.423736	1.207151E+0
3/17/2021  12:55:17.423741	1.137452E+0
3/17/2021  12:55:17.423746	1.067428E+0
3/17/2021  12:55:17.423751	9.957749E-1
3/17/2021  12:55:17.423756	9.237962E-1
3/17/2021  12:55:17.423761	8.495377E-1
3/17/2021  12:55:17.423766	7.756048E-1
3/17/2021  12:55:17.423771	7.010205E-1
3/17/2021  12:55:17.423776	6.251335E-1
3/17/2021  12:55:17.423781	5.498979E-1
3/17/2021  12:55:17.423786	4.727080E-1
3/17/2021  12:55:17.423791	3.945411E-1
3/17/2021  12:55:17.423796	3.153971E-1
3/17/2021  12:55:17.423801	2.378816E-1
3/17/2021  12:55:17.423806	1.606918E-1
3/17/2021  12:55:17.423811	8.317629E-2
3/17/2021  12:55:17.423816	4.032300E-3
3/17/2021  12:55:17.423821	-7.446030E-2
3/17/2021  12:55:17.423826	-1.523015E-1
3/17/2021  12:55:17.423831	-2.314455E-1
3/17/2021  12:55:17.423836	-3.092867E-1
3/17/2021  12:55:17.423841	-3.874536E-1
3/17/2021  12:55:17.423846	-4.649691E-1
3/17/2021  12:55:17.423851	-5.411819E-1
3/17/2021  12:55:17.423856	-6.173946E-1
3/17/2021  12:55:17.423861	-6.949101E-1
3/17/2021  12:55:17.423866	-7.688430E-1
3/17/2021  12:55:17.423871	-8.434272E-1
3/17/2021  12:55:17.423876	-9.176858E-1
3/17/2021  12:55:17.423881	-9.890131E-1
3/17/2021  12:55:17.423886	-1.061317E+0
3/17/2021  12:55:17.423891	-1.130691E+0
3/17/2021  12:55:17.423896	-1.200064E+0
3/17/2021  12:55:17.423901	-1.269437E+0
3/17/2021  12:55:17.423906	-1.336856E+0
3/17/2021  12:55:17.423911	-1.402321E+0
3/17/2021  12:55:17.423916	-1.466808E+0
3/17/2021  12:55:17.423921	-1.528365E+0
3/17/2021  12:55:17.423926	-1.590247E+0
3/17/2021  12:55:17.423931	-1.650826E+0
3/17/2021  12:55:17.423936	-1.707823E+0
3/17/2021  12:55:17.423941	-1.764494E+0
3/17/2021  12:55:17.423946	-1.819536E+0
3/17/2021  12:55:17.423951	-1.871973E+0
3/17/2021  12:55:17.423956	-1.924410E+0
3/17/2021  12:55:17.423961	-1.973265E+0
3/17/2021  12:55:17.423966	-2.020165E+0
3/17/2021  12:55:17.423971	-2.066088E+0
3/17/2021  12:55:17.423976	-2.108754E+0
3/17/2021  12:55:17.423981	-2.150769E+0
3/17/2021  12:55:17.423986	-2.188875E+0
3/17/2021  12:55:17.423991	-2.225679E+0
3/17/2021  12:55:17.423996	-2.260202E+0
3/17/2021  12:55:17.424001	-2.292772E+0
3/17/2021  12:55:17.424006	-2.324039E+0
3/17/2021  12:55:17.424011	-2.350094E+0
3/17/2021  12:55:17.424016	-2.376801E+0
3/17/2021  12:55:17.424021	-2.399274E+0
3/17/2021  12:55:17.424026	-2.421096E+0
3/17/2021  12:55:17.424031	-2.439335E+0
3/17/2021  12:55:17.424036	-2.455945E+0
3/17/2021  12:55:17.424041	-2.467996E+0
3/17/2021  12:55:17.424046	-2.479721E+0
3/17/2021  12:55:17.424051	-2.488515E+0
3/17/2021  12:55:17.424056	-2.495029E+0
3/17/2021  12:55:17.424061	-2.499914E+0
3/17/2021  12:55:17.424066	-2.501217E+0
3/17/2021  12:55:17.424071	-2.500240E+0
3/17/2021  12:55:17.424076	-2.495680E+0
3/17/2021  12:55:17.424081	-2.488841E+0
3/17/2021  12:55:17.424086	-2.481024E+0
3/17/2021  12:55:17.424091	-2.469950E+0
3/17/2021  12:55:17.424096	-2.456597E+0
3/17/2021  12:55:17.424101	-2.440963E+0
3/17/2021  12:55:17.424106	-2.423376E+0
3/17/2021  12:55:17.424111	-2.401880E+0
3/17/2021  12:55:17.424116	-2.379081E+0
3/17/2021  12:55:17.424121	-2.353677E+0
3/17/2021  12:55:17.424126	-2.327296E+0
3/17/2021  12:55:17.424131	-2.296680E+0
3/17/2021  12:55:17.424136	-2.262808E+0
3/17/2021  12:55:17.424141	-2.228936E+0
3/17/2021  12:55:17.424146	-2.193761E+0
3/17/2021  12:55:17.424151	-2.154351E+0
3/17/2021  12:55:17.424156	-2.112662E+0
3/17/2021  12:55:17.424161	-2.070648E+0
3/17/2021  12:55:17.424166	-2.024725E+0
3/17/2021  12:55:17.424171	-1.977824E+0
3/17/2021  12:55:17.424176	-1.929296E+0
3/17/2021  12:55:17.424181	-1.878162E+0
3/17/2021  12:55:17.424186	-1.826050E+0
3/17/2021  12:55:17.424191	-1.771008E+0
3/17/2021  12:55:17.424196	-1.714663E+0
3/17/2021  12:55:17.424201	-1.656037E+0
3/17/2021  12:55:17.424206	-1.596435E+0
3/17/2021  12:55:17.424211	-1.534879E+0
3/17/2021  12:55:17.424216	-1.473974E+0
3/17/2021  12:55:17.424221	-1.408509E+0
3/17/2021  12:55:17.424226	-1.342718E+0
3/17/2021  12:55:17.424231	-1.276602E+0
3/17/2021  12:55:17.424236	-1.208532E+0
3/17/2021  12:55:17.424241	-1.138507E+0
3/17/2021  12:55:17.424246	-1.068157E+0
3/17/2021  12:55:17.424251	-9.965041E-1
3/17/2021  12:55:17.424256	-9.251768E-1
3/17/2021  12:55:17.424261	-8.509182E-1
3/17/2021  12:55:17.424266	-7.766597E-1
3/17/2021  12:55:17.424271	-7.017497E-1
3/17/2021  12:55:17.424276	-6.255370E-1
3/17/2021  12:55:17.424281	-5.493242E-1
3/17/2021  12:55:17.424286	-4.734372E-1
3/17/2021  12:55:17.424291	-3.959217E-1
3/17/2021  12:55:17.424296	-3.177548E-1
3/17/2021  12:55:17.424301	-2.395879E-1
3/17/2021  12:55:17.424306	-1.607696E-1
3/17/2021  12:55:17.424311	-8.292838E-2
3/17/2021  12:55:17.424316	-4.110086E-3
3/17/2021  12:55:17.424321	7.405682E-2
3/17/2021  12:55:17.424326	1.518980E-1
3/17/2021  12:55:17.424331	2.297392E-1
3/17/2021  12:55:17.424336	3.085575E-1
3/17/2021  12:55:17.424341	3.860730E-1
3/17/2021  12:55:17.424346	4.632629E-1
3/17/2021  12:55:17.424351	5.401270E-1
3/17/2021  12:55:17.424356	6.156883E-1
3/17/2021  12:55:17.424361	6.915754E-1
3/17/2021  12:55:17.424366	7.668110E-1
3/17/2021  12:55:17.424371	8.407439E-1
3/17/2021  12:55:17.424376	9.133740E-1
3/17/2021  12:55:17.424381	9.866554E-1
3/17/2021  12:55:17.424386	1.057006E+0
3/17/2021  12:55:17.424391	1.127682E+0
3/17/2021  12:55:17.424396	1.198032E+0
3/17/2021  12:55:17.424401	1.265451E+0
3/17/2021  12:55:17.424406	1.332870E+0
3/17/2021  12:55:17.424411	1.397683E+0
3/17/2021  12:55:17.424416	1.462822E+0
3/17/2021  12:55:17.424421	1.524379E+0
3/17/2021  12:55:17.424426	1.586586E+0
3/17/2021  12:55:17.424431	1.646514E+0
3/17/2021  12:55:17.424436	1.704814E+0
3/17/2021  12:55:17.424441	1.760833E+0
3/17/2021  12:55:17.424446	1.815550E+0
3/17/2021  12:55:17.424451	1.868313E+0
3/17/2021  12:55:17.424456	1.919447E+0
3/17/2021  12:55:17.424461	1.967650E+0
3/17/2021  12:55:17.424466	2.015527E+0
3/17/2021  12:55:17.424471	2.060473E+0
3/17/2021  12:55:17.424476	2.104116E+0
3/17/2021  12:55:17.424481	2.144828E+0
3/17/2021  12:55:17.424486	2.183586E+0
3/17/2021  12:55:17.424491	2.220064E+0
3/17/2021  12:55:17.424496	2.255565E+0
3/17/2021  12:55:17.424501	2.287483E+0
3/17/2021  12:55:17.424506	2.316796E+0
3/17/2021  12:55:17.424511	2.345782E+0
3/17/2021  12:55:17.424516	2.371512E+0
3/17/2021  12:55:17.424521	2.393985E+0
3/17/2021  12:55:17.424526	2.415481E+0
3/17/2021  12:55:17.424531	2.433720E+0
3/17/2021  12:55:17.424536	2.449354E+0
3/17/2021  12:55:17.424541	2.463033E+0
3/17/2021  12:55:17.424546	2.473781E+0
3/17/2021  12:55:17.424551	2.482900E+0
3/17/2021  12:55:17.424556	2.490066E+0
3/17/2021  12:55:17.424561	2.493323E+0
3/17/2021  12:55:17.424566	2.495602E+0
3/17/2021  12:55:17.424571	2.494625E+0
3/17/2021  12:55:17.424576	2.491043E+0
3/17/2021  12:55:17.424581	2.485180E+0
3/17/2021  12:55:17.424586	2.476386E+0
3/17/2021  12:55:17.424591	2.465638E+0
3/17/2021  12:55:17.424596	2.452285E+0
